,Общая,Этаж,Срок сдачи,Тип жилья,Цена,Комнат,Район,Линк,Жилая,Кухня,Санузел,Балкон/лоджия,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Высота потолков,Построен,Ремонт,Вид из окон,Планировка,Отделка
38,42,2,,Вторичка,1899000,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/233108616/,28,6,1 совмещенный,,,"2,55 м",,,,,
39,43,3,,Вторичка,2270000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/224846880/,29,6,1 совмещенный,,,,,,,,
40,53,10,,Вторичка,2800000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/222089930/,39,6,1 раздельный,1 балкон,,"2,6 м",,,,,
41,44,5,,Вторичка,1800000,2-комн.,р-н Ворошиловский,https://volgograd.cian.ru/sale/flat/226104846/,30,5,1 раздельный,,,,,,,,
42,50,2,,Вторичка,3100000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/222091528/,30,8,1 раздельный,1 балкон,,"2,75 м",,,,,
43,54,3,,Вторичка,3050000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/222096621/,29,12,1 раздельный,,,"2,75 м",,,,,
44,41,5,,Вторичка,1880000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/230393699/,27,6,1 раздельный,1 балкон,,,,,,,
45,88,3,4,Новостройка,3555800,2-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/240664013/,34,9,1 раздельный,2 балкона,14.18-20.02 м²,,,,,,
46,51,1,,Вторичка,2000000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/241548016/,34,8,1 совмещенный,,,"2,75 м",,,,,
47,40,3,,Вторичка,1750000,2-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/236244699/,28,6,1 совмещенный,,,"2,6 м",,,,,
48,42,4,,Вторичка,1800000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/238425724/,29,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
49,47,2,,Вторичка,2200000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/241462178/,33,6,1 раздельный,1 балкон,,,,,,,
50,42,2,,Вторичка,1880000,2-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/232394853/,30,6,1 совмещенный,,,"2,6 м",,,,,
51,45,8,,Вторичка,2370000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/222096939/,28,6,1 раздельный,,,,,,,,
52,38,2,,Вторичка,970000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/222096678/,28,5,1 совмещенный,,,,,,,,
53,45,4,,Вторичка,2700000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/244618878/,23,9,1 раздельный,1 лоджия,,"2,75 м",,,,,
54,39,3,,Вторичка,1670000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/222092293/,22,6,1 совмещенный,,,"2,55 м",,,,,
55,41,2,,Вторичка,1560000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/222091138/,28,6,1 совмещенный,,,"2,55 м",,,,,
56,47,8,,Вторичка,3100000,2-комн.,р-н Ворошиловский,https://volgograd.cian.ru/sale/flat/246167755/,29,7,1 раздельный,1 балкон,,,1994,Евроремонт,На улицу,,
57,47,5,,Вторичка,4200000,2-комн.,р-н Ворошиловский,https://volgograd.cian.ru/sale/flat/243439060/,28,12,1 совмещенный,1 лоджия,,,,,,,
58,41,5,,Вторичка,2800000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/244618872/,24,5,1 совмещенный,1 балкон,,,,,,,
59,54,1,,Вторичка,1300000,2-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/225562865/,35,5,1 раздельный,,,3 м,,,,,
60,51,2,,Вторичка,1300000,2-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/222089957/,24,9,1 раздельный,2 балкона,,3 м,,,,,
61,37,2,,Вторичка,1670000,2-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/244277013/,26,6,1 совмещенный,1 балкон,,"2,55 м",,,,,
62,44,6,,Вторичка,2870000,2-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/240174543/,28,6,1 раздельный,1 балкон,,,,,,,
63,51,4,4,Новостройка,2829850,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/222516034/,,,,,,,,,,,
64,47,18,,Вторичка,2799000,2-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/239671950/,20,18,1 совмещенный,,,,,,,,
65,67,8,,Вторичка,3100000,2-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/227072689/,34,12,1 раздельный,1 лоджия,,"2,75 м",,,,,
