,Общая,Жилая,Этаж,Тип жилья,Высота потолков,Санузел,Балкон/лоджия,Цена,Комнат,Район,Линк,Кухня,Срок сдачи,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Построен,Ремонт,Вид из окон,Отделка
882,36,21,1,Вторичка,3 м,1 совмещенный,,1450000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/245432153/,7,,,,,,
883,29,17,2,Вторичка,"2,7 м",1 совмещенный,,1470000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/245691277/,6,,,,,,
884,32,18,4,Вторичка,"2,55 м",1 совмещенный,,1450000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/246597396/,7,,,,,,
885,31,17,4,Вторичка,,,,1450000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/245042252/,6,,,,,,
886,32,18,5,Вторичка,"2,75 м",1 совмещенный,1 балкон,1450000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/222095288/,5,,,,,,
887,24,12,2,Вторичка,,1 совмещенный,1 лоджия,1458000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/242919760/,5,,,,Косметический,На улицу,
888,33,18,1,Вторичка,,,,1470000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/243298568/,7,,,,,Во двор,
889,37,24,1,Вторичка,3 м,1 раздельный,,1470000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/228222153/,8,,,,,,
890,29,,1,Вторичка,,1 совмещенный,,1450000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242551322/,6,,,,,,
891,30,18,3,Вторичка,"2,55 м",1 совмещенный,,1470000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/246152862/,6,,,,,,
892,31,19,4,Вторичка,,,,1470000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242548767/,6,,,1965,Евроремонт,Во двор,
893,30,18,1,Вторичка,,1 совмещенный,,1500000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/238597399/,6,,,,Евроремонт,Во двор,
894,31,18,2,Вторичка,,,1 балкон,1500000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/245806374/,6,,,,,Во двор,
895,31,16,5,Вторичка,"2,7 м",1 совмещенный,1 балкон,1520000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/228732652/,6,,,1975,Без ремонта,Во двор,
896,34,18,3,Вторичка,3 м,1 совмещенный,1 балкон,1509999,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/243012899/,6,,,,,,
897,30,16,1,Вторичка,"2,3 м",1 совмещенный,,1500000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/246733036/,6,,,1971,Косметический,,
898,35,18,1,Вторичка,"2,95 м",1 раздельный,,1500000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/225187712/,8,,,,,,
899,32,19,4,Вторичка,,1 совмещенный,,1500000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/246056565/,6,,,1966,Евроремонт,На улицу и двор,
900,32,18,5,Вторичка,,1 совмещенный,,1500000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/228731969/,6,,,,Без ремонта,,
901,30,17,2,Вторичка,,,1 балкон,1500000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/244761705/,5,,,,Косметический,Во двор,
902,30,16,4,Вторичка,,1 совмещенный,,1500000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/245118406/,6,,,,Без ремонта,Во двор,
903,31,17,1,Вторичка,,,,1520000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/245609345/,5,,,,,,
904,31,18,5,Вторичка,,1 совмещенный,1 балкон,1500000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/241471356/,6,,,1966,Косметический,Во двор,
905,34,16,1,Вторичка,,1 совмещенный,1 лоджия,1540000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/239481325/,8,,,1987,Косметический,Во двор,
906,30,16,4,Вторичка,,,1 балкон,1580000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/245468020/,6,,16.5 м²,,,Во двор,
907,29,18,4,Вторичка,"2,55 м",1 совмещенный,1 балкон,1560000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/240594726/,6,,,,,,
908,26,16,1,Вторичка,"2,75 м",1 совмещенный,1 балкон,1570000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/237387185/,8,,,,,,
909,34,17,3,Вторичка,,1 раздельный,1 лоджия,1560000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/240930165/,8,,,,,,
910,37,18,1,,,,,1580000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/230158563/,8,,,,,,
911,30,,4,Вторичка,,1 совмещенный,1 балкон,1550000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/228791182/,6,,,,Косметический,,
912,34,18,5,Вторичка,,1 совмещенный,1 балкон,1599000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/242687992/,6,,18 м²,,Косметический,,
913,32,17,1,Вторичка,,1 совмещенный,,1570000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/226496886/,6,,,,,,
914,33,18,2,Вторичка,"2,55 м",1 совмещенный,,1570000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/245024845/,6,,,,,,
915,36,15,2,Вторичка,,1 совмещенный,,1570000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/234859780/,10,,,,,,
916,25,12,3,Вторичка,"2,75 м",1 совмещенный,1 балкон,1550000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/241462160/,7,,,,,,
917,32,18,1,Вторичка,"2,55 м",1 совмещенный,,1570000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242514347/,6,,,,,,
918,30,18,4,Вторичка,,,,1550000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/241159902/,6,,,,,На улицу,
919,66,17,1,Вторичка,,,,1550000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/239124172/,12,,,,,,
920,30,17,4,Вторичка,"2,7 м",1 совмещенный,1 балкон,1550000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/236942680/,6,,,,Косметический,Во двор,
921,31,17,2,Вторичка,"2,6 м",1 раздельный,1 балкон,1560000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/245617221/,6,,,1975,Без ремонта,Во двор,
922,31,18,4,Вторичка,,,,1590000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/243124152/,6,,,,Косметический,Во двор,
923,21,12,4,Вторичка,"2,65 м",1 совмещенный,,1550000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/244962640/,5,,12.7 м²,1986,Косметический,,
