,Общая,Жилая,Этаж,Тип жилья,Высота потолков,Санузел,Балкон/лоджия,Цена,Комнат,Район,Линк,Кухня,Срок сдачи,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Построен,Ремонт,Вид из окон,Отделка
766,36,19,3,Вторичка,3 м,1 раздельный,1 балкон,1000000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242186574/,7,,,,,,
767,23,16,1,Вторичка,3 м,1 раздельный,,1020000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/228731773/,4,,,1947,Без ремонта,На улицу,
768,32,21,1,Вторичка,"2,8 м",1 совмещенный,,1020000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/245691271/,8,,,,,,
769,21,10,2,Вторичка,"2,6 м",1 совмещенный,1 балкон,1050000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/244077177/,5,,,,,,
770,27,19,7,Вторичка,"2,6 м",1 раздельный,,1050000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/228732949/,,,,,Без ремонта,Во двор,
771,31,16,4,Вторичка,,1 совмещенный,,1050000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/242778512/,6,,,,Косметический,На улицу,
772,29,16,5,Вторичка,"2,6 м",1 совмещенный,1 балкон,1070000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/245926354/,6,,,,,,
773,29,17,2,Вторичка,"2,6 м",1 совмещенный,1 балкон,1070000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242088863/,5,,,,,,
774,30,16,5,Вторичка,,1 совмещенный,1 балкон,1060000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242447711/,6,,,,,,
775,32,17,2,Вторичка,"2,55 м",1 совмещенный,1 балкон,1060000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/231546019/,5,,,,,,
776,30,16,5,Вторичка,"2,6 м",1 совмещенный,1 балкон,1095000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/222409762/,6,,,,,,
777,30,18,4,Вторичка,,1 совмещенный,,1050000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/214336108/,6,,18 м²,,Косметический,,
778,24,12,2,Вторичка,,1 совмещенный,1 балкон,1050000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/231862490/,6,,12 м²,1959,Без ремонта,Во двор,
779,36,22,1,Вторичка,3 м,1 совмещенный,,1100000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/241860579/,7,,,,,,
780,33,18,1,Вторичка,3 м,1 совмещенный,,1110000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/222095972/,5,,,,,,
781,32,18,2,Вторичка,"2,55 м",1 совмещенный,1 балкон,1100000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242582648/,5,,,,,,
782,36,18,3,Вторичка,"2,6 м",1 совмещенный,,1100000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/243232702/,10,,,,,,
783,36,18,1,Вторичка,,1 совмещенный,1 лоджия,1120000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242703761/,10,,,,,,
784,36,16,3,Вторичка,"2,6 м",1 совмещенный,,1110000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/223108647/,10,,16.5 м²,,,Во двор,
785,31,16,5,Вторичка,"2,55 м",1 совмещенный,1 балкон,1120000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/245999306/,6,,,,,,
786,37,18,3,Вторичка,"2,5 м",1 совмещенный,,1100000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/242692198/,9,,,1967,Евроремонт,,
787,35,20,1,Вторичка,,1 раздельный,,1100000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/192959731/,8,,20 м²,1953,Косметический,Во двор,
788,30,17,1,Вторичка,,1 совмещенный,,1175000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/246657517/,6,,,1962,,,
789,31,18,3,Вторичка,"2,55 м",1 совмещенный,,1160000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/241090399/,6,,,,,,
790,41,19,1,Вторичка,3 м,,,1170000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/243607491/,14,,,,,,
791,38,19,5,Вторичка,"2,6 м",1 совмещенный,,1160000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/241756324/,9,,,,,,
