,Общая,Жилая,Кухня,Этаж,Срок сдачи,Тип жилья,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Санузел,Балкон/лоджия,Цена,Комнат,Район,Высота потолков,Построен,Планировка,Ремонт,Вид из окон,Отделка,Линк
1262,59,40.0,6.0,5,,Вторичка,,1 совмещенный,1 балкон,2500000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/245549737/
1263,65,37.0,,4,,Вторичка,15-10-12 м²,1 раздельный,,2500000,3-комн.,р-н Тракторозаводский,,,,Косметический,,,https://volgograd.cian.ru/sale/flat/245993604/
1264,55,33.0,7.0,2,,Вторичка,,,,2500000,3-комн.,р-н Краснооктябрьский,,,,Косметический,Во двор,,https://volgograd.cian.ru/sale/flat/246126400/
1265,54,32.0,7.0,1,,Вторичка,,1 совмещенный,,2500000,3-комн.,р-н Дзержинский,"2,6 м",,,Косметический,На улицу и двор,,https://volgograd.cian.ru/sale/flat/240829030/
1266,72,50.0,8.0,3,,Вторичка,,1 раздельный,1 балкон,2500000,3-комн.,р-н Дзержинский,,1959.0,,Косметический,,,https://volgograd.cian.ru/sale/flat/187004258/
1267,60,42.0,6.0,2,,Вторичка,,1 раздельный,1 лоджия,2500000,3-комн.,р-н Краснооктябрьский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/245804137/
1268,55,38.0,6.0,1,,Вторичка,,1 совмещенный,,2500000,3-комн.,р-н Дзержинский,,,Изолированная,,На улицу,,https://volgograd.cian.ru/sale/flat/243212146/
1269,53,34.0,6.0,5,,Вторичка,,,,2500000,3-комн.,р-н Центральный,,,,Без ремонта,,,https://volgograd.cian.ru/sale/flat/236680623/
1270,62,44.0,7.0,2,,Вторичка,,1 раздельный,,2510000,3-комн.,р-н Краснооктябрьский,3 м,1953.0,,Косметический,Во двор,,https://volgograd.cian.ru/sale/flat/243733965/
1271,58,35.0,6.0,3,,Вторичка,,1 раздельный,,2500000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/226559790/
