,Общая,Жилая,Кухня,Этаж,Срок сдачи,Тип жилья,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Санузел,Балкон/лоджия,Цена,Комнат,Район,Высота потолков,Построен,Планировка,Ремонт,Вид из окон,Отделка,Линк
1,141,72.0,37.0,1,3.0,Новостройка,35.40-20.04-16.86 м²,1 раздельный,3 балкона,6213680,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/214964186/
2,69,49.0,8.0,2,,Вторичка,,1 раздельный,1 балкон,1750000,3-комн.,р-н Тракторозаводский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/222092893/
3,99,52.0,12.0,13,,Вторичка,,,2 лоджии,7800000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/222095617/
4,54,41.0,5.0,3,,Вторичка,,1 совмещенный,,2190000,3-комн.,р-н Кировский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/222088954/
5,55,40.0,5.0,4,,Вторичка,,1 совмещенный,1 балкон,2250000,3-комн.,р-н Советский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/226427675/
6,78,48.0,20.0,16,,Вторичка,,1 раздельный,,6300000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/222095361/
7,51,32.0,6.0,3,,Вторичка,,1 раздельный,1 балкон,1750000,3-комн.,р-н Тракторозаводский,,,,,,,https://volgograd.cian.ru/sale/flat/234258897/
8,76,50.0,12.0,8,,Вторичка,,1 совмещенный,"1 балкон, 1 лоджия",4600000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/242707037/
9,64,40.0,9.0,7,,Вторичка,,1 раздельный,1 балкон,3550000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/235488141/
10,78,49.0,11.0,1,4.0,Новостройка,15.68-13.59-20.03 м²,1 раздельный,,3947000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/238505329/
11,55,38.0,7.0,3,,Вторичка,,1 раздельный,1 лоджия,2950000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/238703375/
12,80,49.0,12.0,2,,Вторичка,,1 раздельный,1 лоджия,4980000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/233685475/
13,83,25.0,40.0,19,,Вторичка,,,,9900000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/222096318/
14,57,41.0,7.0,2,,Вторичка,,1 раздельный,2 балкона,1870000,3-комн.,р-н Ворошиловский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/222091003/
15,54,38.0,6.0,3,,Вторичка,,1 раздельный,1 лоджия,3070000,3-комн.,р-н Советский,,,,,,,https://volgograd.cian.ru/sale/flat/236703600/
16,60,42.0,8.0,1,,Вторичка,,1 раздельный,,3500000,3-комн.,р-н Центральный,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/222086179/
17,66,40.0,9.0,5,,Вторичка,,1 раздельный,1 балкон,3480000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/242375259/
18,63,42.0,9.0,8,,Вторичка,,1 раздельный,1 лоджия,3100000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/239788201/
19,94,50.0,9.0,1,2.0,Новостройка,20.6-16.0-14.3 м²,1 раздельный,1 балкон,4745000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/237759897/
20,94,34.0,10.0,2,,Вторичка,,1 совмещенный,2 лоджии,4770000,3-комн.,р-н Тракторозаводский,"2,7 м",,,,,,https://volgograd.cian.ru/sale/flat/241632213/
21,57,41.0,8.0,6,,Вторичка,,1 раздельный,2 балкона,2680000,3-комн.,р-н Тракторозаводский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/242510735/
22,59,40.0,6.0,5,,Вторичка,,1 совмещенный,1 балкон,2200000,3-комн.,р-н Тракторозаводский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/241704729/
23,65,42.0,9.0,8,,Вторичка,,1 раздельный,1 лоджия,3100000,3-комн.,р-н Тракторозаводский,"2,7 м",,,,,,https://volgograd.cian.ru/sale/flat/241938317/
24,65,42.0,8.0,2,,Вторичка,,1 раздельный,1 балкон,3650000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/240568558/
25,134,76.0,19.0,1,,Вторичка,,,"1 балкон, 1 лоджия",8200000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/231740405/
26,58,39.0,6.0,8,,Вторичка,,1 раздельный,1 балкон,2750000,3-комн.,р-н Советский,,,,,,,https://volgograd.cian.ru/sale/flat/242106948/
27,82,44.0,16.0,8,,Вторичка,,1 совмещенный,2 балкона,7570000,3-комн.,р-н Дзержинский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/241090417/
28,61,39.0,6.0,6,,Вторичка,,1 совмещенный,1 балкон,2800000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/222093237/
29,141,72.0,37.0,1,3.0,Новостройка,35.40-20.04-16.86 м²,1 раздельный,3 балкона,6213680,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/214964186/
30,69,49.0,8.0,2,,Вторичка,,1 раздельный,1 балкон,1750000,3-комн.,р-н Тракторозаводский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/222092893/
31,99,52.0,12.0,13,,Вторичка,,,2 лоджии,7800000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/222095617/
32,54,41.0,5.0,3,,Вторичка,,1 совмещенный,,2190000,3-комн.,р-н Кировский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/222088954/
33,55,40.0,5.0,4,,Вторичка,,1 совмещенный,1 балкон,2250000,3-комн.,р-н Советский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/226427675/
34,78,48.0,20.0,16,,Вторичка,,1 раздельный,,6300000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/222095361/
35,51,32.0,6.0,3,,Вторичка,,1 раздельный,1 балкон,1750000,3-комн.,р-н Тракторозаводский,,,,,,,https://volgograd.cian.ru/sale/flat/234258897/
36,76,50.0,12.0,8,,Вторичка,,1 совмещенный,"1 балкон, 1 лоджия",4600000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/242707037/
37,64,40.0,9.0,7,,Вторичка,,1 раздельный,1 балкон,3550000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/235488141/
38,78,49.0,11.0,1,4.0,Новостройка,15.68-13.59-20.03 м²,1 раздельный,,3947000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/238505329/
39,55,38.0,7.0,3,,Вторичка,,1 раздельный,1 лоджия,2950000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/238703375/
40,80,49.0,12.0,2,,Вторичка,,1 раздельный,1 лоджия,4980000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/233685475/
41,83,25.0,40.0,19,,Вторичка,,,,9900000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/222096318/
42,57,41.0,7.0,2,,Вторичка,,1 раздельный,2 балкона,1870000,3-комн.,р-н Ворошиловский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/222091003/
43,54,38.0,6.0,3,,Вторичка,,1 раздельный,1 лоджия,3070000,3-комн.,р-н Советский,,,,,,,https://volgograd.cian.ru/sale/flat/236703600/
44,60,42.0,8.0,1,,Вторичка,,1 раздельный,,3500000,3-комн.,р-н Центральный,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/222086179/
45,66,40.0,9.0,5,,Вторичка,,1 раздельный,1 балкон,3480000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/242375259/
46,63,42.0,9.0,8,,Вторичка,,1 раздельный,1 лоджия,3100000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/239788201/
47,94,50.0,9.0,1,2.0,Новостройка,20.6-16.0-14.3 м²,1 раздельный,1 балкон,4745000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/237759897/
48,94,34.0,10.0,2,,Вторичка,,1 совмещенный,2 лоджии,4770000,3-комн.,р-н Тракторозаводский,"2,7 м",,,,,,https://volgograd.cian.ru/sale/flat/241632213/
49,57,41.0,8.0,6,,Вторичка,,1 раздельный,2 балкона,2680000,3-комн.,р-н Тракторозаводский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/242510735/
50,59,40.0,6.0,5,,Вторичка,,1 совмещенный,1 балкон,2200000,3-комн.,р-н Тракторозаводский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/241704729/
51,65,42.0,9.0,8,,Вторичка,,1 раздельный,1 лоджия,3100000,3-комн.,р-н Тракторозаводский,"2,7 м",,,,,,https://volgograd.cian.ru/sale/flat/241938317/
52,65,42.0,8.0,2,,Вторичка,,1 раздельный,1 балкон,3650000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/240568558/
53,134,76.0,19.0,1,,Вторичка,,,"1 балкон, 1 лоджия",8200000,3-комн.,р-н Центральный,,,,,,,https://volgograd.cian.ru/sale/flat/231740405/
54,58,39.0,6.0,8,,Вторичка,,1 раздельный,1 балкон,2750000,3-комн.,р-н Советский,,,,,,,https://volgograd.cian.ru/sale/flat/242106948/
55,82,44.0,16.0,8,,Вторичка,,1 совмещенный,2 балкона,7570000,3-комн.,р-н Дзержинский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/241090417/
56,61,39.0,6.0,6,,Вторичка,,1 совмещенный,1 балкон,2800000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/222093237/
57,94,61.0,13.0,6,,Вторичка,,1 раздельный,1 лоджия,4700000,3-комн.,р-н Краснооктябрьский,,,,,,,https://volgograd.cian.ru/sale/flat/241548064/
58,65,23.0,8.0,9,,Вторичка,,1 раздельный,2 лоджии,3310000,3-комн.,р-н Красноармейский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/222088854/
59,55,40.0,6.0,4,,Вторичка,,1 совмещенный,1 балкон,1830000,3-комн.,р-н Красноармейский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/222086038/
60,61,41.0,5.0,1,,Вторичка,,1 совмещенный,1 лоджия,3070000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/239349186/
61,54,37.0,6.0,3,,Вторичка,,1 совмещенный,1 балкон,2500000,3-комн.,р-н Красноармейский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/237719293/
62,56,36.0,6.0,3,,Вторичка,,1 раздельный,2 лоджии,2550000,3-комн.,р-н Тракторозаводский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/244150724/
63,61,38.0,8.0,1,,Вторичка,,1 раздельный,1 лоджия,2000000,3-комн.,р-н Кировский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/225001894/
64,69,47.0,6.0,2,,Вторичка,,1 совмещенный,1 балкон,1250000,3-комн.,р-н Красноармейский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/222092507/
65,58,42.0,6.0,5,,Вторичка,,1 раздельный,1 балкон,1670000,3-комн.,р-н Кировский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/236785888/
66,62,39.0,8.0,4,,Вторичка,,1 раздельный,1 лоджия,3070000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/228861979/
67,65,40.0,11.0,4,,Вторичка,,1 раздельный,"1 балкон, 1 лоджия",3100000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/242510728/
68,74,42.0,8.0,9,,Вторичка,,1 раздельный,1 лоджия,3650000,3-комн.,р-н Дзержинский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/237301095/
69,65,45.0,7.0,7,,Вторичка,,1 совмещенный,1 балкон,3300000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/244690262/
70,51,34.0,6.0,3,,Вторичка,,1 раздельный,,1730000,3-комн.,р-н Красноармейский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/238216789/
71,63,41.0,8.0,4,,Вторичка,,1 раздельный,,1910000,3-комн.,р-н Тракторозаводский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/239185564/
72,100,67.0,13.0,2,,Вторичка,,1 раздельный,2 лоджии,6000000,3-комн.,р-н Тракторозаводский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/241012772/
73,52,38.0,5.0,8,,Вторичка,,1 раздельный,1 лоджия,2590000,3-комн.,р-н Краснооктябрьский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/244150744/
74,63,40.0,7.0,13,,Вторичка,,1 раздельный,1 лоджия,2700000,3-комн.,р-н Кировский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/242510726/
75,64,42.0,8.0,5,,Вторичка,,1 раздельный,1 лоджия,2860000,3-комн.,р-н Красноармейский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/239940189/
76,54,28.0,16.0,5,,Вторичка,,1 совмещенный,1 балкон,3300000,3-комн.,р-н Советский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/240917981/
77,122,75.0,14.0,19,,Вторичка,,1 раздельный,1 балкон,7500000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/222096228/
78,53,,9.0,1,,Вторичка,,1 раздельный,1 балкон,2570000,3-комн.,р-н Краснооктябрьский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/242876431/
79,58,32.0,17.0,1,,Вторичка,,1 совмещенный,,2650000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/243826250/
80,96,53.0,16.0,2,,Вторичка,,1 совмещенный,3 лоджии,4180000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/232295066/
81,101,47.0,29.0,12,,Вторичка,,1 совмещенный,3 лоджии,6890000,3-комн.,р-н Центральный,"2,7 м",,,,,,https://volgograd.cian.ru/sale/flat/243386893/
82,83,54.0,11.0,4,,Вторичка,,1 совмещенный,2 лоджии,3790000,3-комн.,р-н Краснооктябрьский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/243386930/
83,61,43.0,10.0,1,,Вторичка,,1 совмещенный,,1170000,3-комн.,р-н Кировский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/238132012/
84,69,44.0,9.0,4,,Вторичка,,1 раздельный,1 лоджия,4750000,3-комн.,р-н Краснооктябрьский,,,,,,,https://volgograd.cian.ru/sale/flat/239495510/
85,80,45.0,12.0,16,,Вторичка,,1 раздельный,2 лоджии,6400000,3-комн.,р-н Тракторозаводский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/240917975/
86,48,29.0,6.0,3,,Вторичка,,1 совмещенный,1 балкон,2670000,3-комн.,р-н Тракторозаводский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/242303762/
87,94,,,1,2.0,Новостройка,,,,4745000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/242174173/
88,92,,,5,4.0,Новостройка,,,,4659500,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/222515994/
89,56,38.0,7.0,3,,Вторичка,,1 совмещенный,2 балкона,1600000,3-комн.,р-н Красноармейский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/243673479/
90,59,40.0,6.0,1,,Вторичка,,1 раздельный,,1800000,3-комн.,р-н Тракторозаводский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/238304517/
91,69,48.0,9.0,2,,Вторичка,,1 раздельный,1 балкон,2100000,3-комн.,р-н Тракторозаводский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/236865607/
92,57,40.0,6.0,1,,Вторичка,,1 раздельный,1 балкон,2299000,3-комн.,р-н Тракторозаводский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/243386951/
93,62,46.0,6.0,5,,Вторичка,,1 раздельный,1 балкон,2349900,3-комн.,р-н Тракторозаводский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/241547993/
94,57,39.0,6.0,2,,Вторичка,,1 раздельный,"1 балкон, 1 лоджия",2820000,3-комн.,р-н Тракторозаводский,"2,7 м",,,,,,https://volgograd.cian.ru/sale/flat/243748485/
95,61,44.0,8.0,9,,Вторичка,,1 раздельный,1 балкон,3100000,3-комн.,р-н Советский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/242582644/
96,78,47.0,8.0,2,,Вторичка,,1 раздельный,1 балкон,3700000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/243607402/
97,79,46.0,14.0,1,,Вторичка,,1 раздельный,1 балкон,4760000,3-комн.,р-н Краснооктябрьский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/244188424/
98,98,53.0,9.0,1,2.0,Новостройка,14.3-16.0-22.9 м²,1 раздельный,,4925000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/236063316/
99,108,60.0,15.0,1,,Вторичка,,,"1 балкон, 1 лоджия",5600000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/237916996/
100,89,52.0,11.0,6,,Вторичка,,1 раздельный,1 балкон,8850000,3-комн.,р-н Ворошиловский,,,,,,,https://volgograd.cian.ru/sale/flat/240009279/
101,129,60.0,40.0,6,,Вторичка,,,1 балкон,7500000,3-комн.,р-н Дзержинский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/230871444/
102,97,65.0,20.0,2,,Вторичка,,,1 лоджия,5650000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/242375255/
103,55,36.0,6.0,4,,Вторичка,,1 совмещенный,1 балкон,2050000,3-комн.,р-н Кировский,"2,55 м",,,,,,https://volgograd.cian.ru/sale/flat/241704713/
104,58,40.0,6.0,3,,Вторичка,,1 раздельный,1 балкон,2180000,3-комн.,р-н Советский,,,,,,,https://volgograd.cian.ru/sale/flat/222097248/
105,55,32.0,8.0,2,,Вторичка,,1 раздельный,1 лоджия,2240000,3-комн.,р-н Советский,,,,,,,https://volgograd.cian.ru/sale/flat/222091875/
106,64,40.0,7.0,6,,Вторичка,,1 раздельный,2 лоджии,2580000,3-комн.,р-н Красноармейский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/233108602/
107,65,40.0,9.0,1,,Вторичка,,1 раздельный,1 лоджия,2870000,3-комн.,р-н Красноармейский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/242514346/
108,81,40.0,11.0,3,,Вторичка,,1 раздельный,,7399000,3-комн.,р-н Краснооктябрьский,,,,,,,https://volgograd.cian.ru/sale/flat/243386909/
109,86,,,10,2.0,Новостройка,,,,4523080,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/242068910/
110,63,41.0,8.0,1,,Вторичка,,1 раздельный,1 лоджия,3395000,3-комн.,р-н Дзержинский,"2,75 м",,,,,,https://volgograd.cian.ru/sale/flat/241160070/
111,102,62.0,21.0,1,,Вторичка,,1 совмещенный,1 балкон,5950000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/241632304/
112,61,44.0,5.0,5,,Вторичка,,1 раздельный,1 балкон,2560000,3-комн.,р-н Красноармейский,"2,6 м",,,,,,https://volgograd.cian.ru/sale/flat/222095034/
113,79,,,1,2.0,Новостройка,,,,3994500,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/242068987/
114,69,48.0,7.0,2,,Вторичка,,1 раздельный,1 балкон,2700000,3-комн.,р-н Краснооктябрьский,3 м,,,,,,https://volgograd.cian.ru/sale/flat/243140905/
115,78,,,1,2.0,Новостройка,,,,3947000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/242068974/
116,92,,,3,4.0,Новостройка,,,,4659500,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/235793096/
117,98,,,1,2.0,Новостройка,,,,4925000,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/242174196/
118,92,,,4,4.0,Новостройка,,,,4659500,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/238977947/
119,81,62.0,6.0,13,,Вторичка,22.1-12.9-27.9 м²,1 раздельный,1 лоджия,5196000,3-комн.,р-н Центральный,"2,7 м",2019.0,Изолированная,Без ремонта,На улицу,,https://volgograd.cian.ru/sale/flat/236613392/
120,84,62.0,6.0,14,,Вторичка,22.1-12.9-27.9 м²,1 раздельный,1 лоджия,5392000,3-комн.,р-н Центральный,"2,7 м",2019.0,Изолированная,Без ремонта,На улицу,,https://volgograd.cian.ru/sale/flat/236613394/
121,100,62.0,6.0,2,,Вторичка,22.1-12.9-27.9 м²,1 раздельный,1 лоджия,6219000,3-комн.,р-н Центральный,"2,7 м",2019.0,Изолированная,Без ремонта,На улицу,,https://volgograd.cian.ru/sale/flat/236579573/
122,57,37.0,6.0,8,,Вторичка,20-9-9 м²,1 раздельный,,4070000,3-комн.,р-н Центральный,,1971.0,Изолированная,,Во двор,,https://volgograd.cian.ru/sale/flat/246776383/
123,69,48.0,19.0,1,,Вторичка,10-12-16.4 м²,1 совмещенный,1 балкон,4470000,3-комн.,р-н Краснооктябрьский,,2005.0,Изолированная,,,,https://volgograd.cian.ru/sale/flat/246776577/
124,64,40.0,8.0,2,,Вторичка,,,1 балкон,4180000,3-комн.,р-н Дзержинский,"2,6 м",1987.0,Изолированная,Евроремонт,,,https://volgograd.cian.ru/sale/flat/245461324/
125,92,,,4,4.0,Новостройка,,,,4659500,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/238977939/
126,92,,,5,4.0,Новостройка,,,,4659500,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/239249163/
127,92,,,10,4.0,Новостройка,,,,4659500,3-комн.,р-н Дзержинский,,,,,,,https://volgograd.cian.ru/sale/flat/222516014/
128,57,34.0,5.0,2,,Вторичка,12.7-12.6-9.3 м²,1 раздельный,,2450000,3-комн.,р-н Краснооктябрьский,"2,6 м",1970.0,Изолированная,,,,https://volgograd.cian.ru/sale/flat/227834210/
129,78,56.0,12.0,5,,Вторичка,8.5-22.9-14.9 м²,1 раздельный,1 лоджия,5780000,3-комн.,р-н Центральный,"2,8 м",,,Евроремонт,Во двор,,https://volgograd.cian.ru/sale/flat/233575845/
130,54,40.0,6.0,1,,Вторичка,19.1-11.5-10 м²,1 совмещенный,,3120000,3-комн.,р-н Дзержинский,"2,45 м",1965.0,Изолированная,Евроремонт,,,https://volgograd.cian.ru/sale/flat/233755871/
131,85,51.0,9.0,3,,Вторичка,30.2-10.8-10.2 м²,1 раздельный,1 лоджия,4400000,3-комн.,р-н Центральный,"2,55 м",2003.0,Изолированная,,,,https://volgograd.cian.ru/sale/flat/207367477/
132,73,42.0,12.0,1,,Вторичка,11.8-12.2-18.8 м²,1 раздельный,1 лоджия,5500000,3-комн.,р-н Центральный,,,Изолированная,Евроремонт,Во двор,,https://volgograd.cian.ru/sale/flat/210667870/
133,62,41.0,7.0,2,,Вторичка,11.8-16.4-13 м²,1 раздельный,,2350000,3-комн.,р-н Ворошиловский,"2,75 м",,,Евроремонт,,,https://volgograd.cian.ru/sale/flat/226533867/
134,69,47.0,9.0,1,,Вторичка,18.1-17.4-12.2 м²,1 раздельный,1 лоджия,2400000,3-комн.,р-н Дзержинский,"2,6 м",1996.0,Изолированная,,Во двор,,https://volgograd.cian.ru/sale/flat/223397038/
135,60,40.0,7.0,4,,Вторичка,11.2-12.8-16 м²,1 раздельный,2 балкона,2860000,3-комн.,р-н Центральный,"2,65 м",,,Без ремонта,,,https://volgograd.cian.ru/sale/flat/225857724/
136,63,37.0,7.0,10,,Вторичка,17-11.8-8.7 м²,1 раздельный,1 лоджия,2650000,3-комн.,р-н Советский,"2,55 м",,Изолированная,,Во двор,,https://volgograd.cian.ru/sale/flat/241640198/
137,56,35.0,6.0,3,,Вторичка,15-11-9 м²,1 совмещенный,1 балкон,2880000,3-комн.,р-н Центральный,"2,55 м",1960.0,,,,,https://volgograd.cian.ru/sale/flat/241184909/
138,61,39.0,8.0,4,,Вторичка,13-9.7-16.6 м²,1 раздельный,1 лоджия,3600000,3-комн.,р-н Советский,"2,55 м",,Изолированная,Евроремонт,Во двор,,https://volgograd.cian.ru/sale/flat/244725271/
139,64,40.0,9.0,7,,Вторичка,11-10-19.2 м²,1 раздельный,1 лоджия,2700000,3-комн.,р-н Дзержинский,"2,6 м",,Изолированная,,,,https://volgograd.cian.ru/sale/flat/222782889/
140,75,51.0,12.0,1,,Вторичка,19-12-20 м²,1 раздельный,,2500000,3-комн.,р-н Дзержинский,"2,55 м",1995.0,Изолированная,,Во двор,,https://volgograd.cian.ru/sale/flat/244122742/
141,53,37.0,5.0,7,,Вторичка,19.2-9.2-8.7 м²,1 раздельный,1 балкон,3000000,3-комн.,р-н Краснооктябрьский,"2,55 м",,,,На улицу,,https://volgograd.cian.ru/sale/flat/218147199/
142,91,53.0,14.0,2,,Вторичка,17.7-17.7-17.6 м²,1 раздельный,2 лоджии,3100000,3-комн.,р-н Дзержинский,"2,6 м",1966.0,Изолированная,,,,https://volgograd.cian.ru/sale/flat/222071993/
143,62,39.0,9.0,8,,Вторичка,16.8-13.6-9 м²,1 раздельный,1 лоджия,3550000,3-комн.,р-н Ворошиловский,"2,7 м",,Изолированная,Евроремонт,,,https://volgograd.cian.ru/sale/flat/222878524/
144,64,46.0,7.0,3,,Вторичка,15.9-15.9-14.4 м²,1 раздельный,1 балкон,1290000,3-комн.,р-н Красноармейский,"2,9 м",,,,,,https://volgograd.cian.ru/sale/flat/242843240/
145,64,40.0,7.0,9,,Вторичка,17-10.2-13.2 м²,1 раздельный,1 лоджия,3250000,3-комн.,р-н Дзержинский,"2,6 м",1977.0,Изолированная,,Во двор,,https://volgograd.cian.ru/sale/flat/238792968/
146,63,40.0,9.0,1,,Вторичка,17-9.6-13.4 м²,1 раздельный,1 лоджия,2870000,3-комн.,р-н Ворошиловский,"2,5 м",1973.0,Изолированная,,На улицу,,https://volgograd.cian.ru/sale/flat/221599635/
147,60,40.0,7.0,1,,Вторичка,,1 раздельный,1 балкон,1890000,3-комн.,р-н Ворошиловский,,1992.0,Изолированная,,,,https://volgograd.cian.ru/sale/flat/246776448/
148,55,35.0,6.0,4,,Вторичка,18-11-9 м²,1 совмещенный,1 балкон,2100000,3-комн.,р-н Кировский,,1967.0,,,,,https://volgograd.cian.ru/sale/flat/246776404/
149,56,43.0,5.0,1,,Вторичка,,1 совмещенный,,2100000,3-комн.,р-н Краснооктябрьский,,1963.0,Изолированная,Без ремонта,,,https://volgograd.cian.ru/sale/flat/246776460/
150,59,44.0,5.0,1,,Вторичка,17-17-10 м²,1 раздельный,,2100000,3-комн.,р-н Кировский,,1967.0,Изолированная,,,,https://volgograd.cian.ru/sale/flat/246776557/
151,55,39.0,6.0,1,,Вторичка,,1 совмещенный,,2270000,3-комн.,р-н Краснооктябрьский,,1959.0,,,Во двор,,https://volgograd.cian.ru/sale/flat/246776442/
